Datum ID,Indexed Field,NomicAtlasTopicDepth1,NomicAtlasTopicDepth2,NomicClaudeTopicDepth1,NomicClaudeTopicDepth2
31,"The U.S. should emphasize the development of AI models and frameworks that prioritize data privacy, ensuring that AI systems adhere to the highest standards of data protection. This includes incorporating privacy-preserving techniques, such as Privacy-Preserving Machine Learning (PPML) and Privacy-Enhancing Technologies (PET), into the regulatory framework.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
32,"Invest in AI-powered investigative tools and develop training programs to enhance AI literacy among financial crime investigators, ensuring they can detect and counter AI-assisted financial crime.
",Content Creation,Cybersecurity (2),Content & Models,Fraud Detection
33,"Engage with American civil society organizations, including those focused on child protection and faith organizations, to inform effective policymaking around AI misuses.
",Content Creation,Online Safety,Content & Models,Child Protection
34,"Develop federal standards for AI systems used in public services that balance performance across languages without imposing excessive costs. This includes:
• Supporting reasonable testing methodologies for federal AI systems.
• Establishing achievable performance standards for multilingual AI applications.
• Creating market incentives for development of Spanish-language AI capabilities.
",Risk Management,International Standards,Regulation,Global Standards
35,"Foster the adoption of proven Privacy-Enhancing Technologies (PETs) at scale to support AI innovation without exposing sensitive information. The AI Action Plan should:
• Promote strategic investment in privacy-preserving record linkage (PPRL).
• Enable interagency data sharing via PPRL without exposing sensitive information.
• Create standards for PET interoperability across proprietary platforms.
• Incentivize broader PET adoption through federal procurement preferences.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
36,"The government should implement minimum, cohesive federal standards for AI training data use to prevent regulatory fragmentation across states and industries. These standards should establish baseline protections while allowing states to build upon them, creating a consistent foundation nationwide without full regulatory preemption.
",Healthcare Privacy,Data Governance,Data Privacy,Gov Datasets
37,"Use AI tools to enhance government operations, cut costs, and reduce waste, fraud, and abuse in federal programs. This includes:
• Implementing AI solutions to provide insight into improper payments,
• Incorporating AI tools in procurement, outlays, and other processes,
• Examining how AI can strengthen national cybersecurity,
• Improving government cybersecurity standards as a prerequisite for AI adoption.
",Government operations,Government,Infrastructure,Gov Services
38,"Fund an accelerated roll-out of Internet standards that would make it harder for AI agents to take control of a large number of devices, such as implementing the IETF 8520 MUD standard in standard routers or similar limitations for mobile apps.
",Content Creation,Antitrust regulation,Content & Models,Market Competition
39,"Facilitate larger scale deployment and training of future AI systems through research and investments in low-carbon, energy-efficient AI hardware development. The strategy includes:
• Investing in Chips-for-AI programs to create specialized hardware optimized for AI,
• Pairing directed investment with program incentives to streamline semiconductor design and manufacturing,
• Encouraging robust partnerships between industry and academia to accelerate commercialization of innovations.
",Government operations,High-Performance Computing,Infrastructure,Computing Power
40,"Develop guidelines that highlight the limitations of generative AI and emphasize effective human-AI collaboration rather than pursuing complete automation. Maintain human oversight and decision-making to ensure AI deployment aligns with intended benefits.
",Content Creation,Ethical AI Deployment,Content & Models,Ethical Deployment
41,"Promote the sharing of data held by federal agencies, especially data not subject to intellectual property or privacy restrictions. Implement modern approaches to data transparency and integration to allow AI solutions to reflect the full potential of the federal government and industry partners.
",Healthcare Privacy,Data Governance,Data Privacy,Gov Datasets
42,"Create a financial insurance mechanism to protect workers from sudden, widespread job displacement due to AI automation. The plan would:
• Define a key event of ""automation suddenly takes most jobs"" (e.g., labor force participation falling from >35% to <10% in <10 years),
• Collect diversified financial assets that would retain value after such an event,
• Split these assets into conditional assets that pay out depending on whether the event occurs,
• Sell the conditional assets to workers as insurance and to investors as counterparties,
• Establish a regulatory framework that permits this financial innovation.
",Workforce Development,Workforce Automation,Workforce Dev,Labor Transition
43,"Avoid unnecessary regulatory overreach while ensuring a dynamic and competitive AI sector that rewards innovation and market-driven expansion.
",Content Creation,Antitrust regulation,Content & Models,Market Competition
44,"Require AI developers to share relevant details with purchasers to inform efforts to identify and manage risk while optimizing safety and effectiveness, while still protecting intellectual property.
",Content Creation,Ethical AI Deployment,Content & Models,Ethical Deployment
45,"Establish foundational data infrastructure to support operational precision in AI applications across government agencies. This includes:
• Creating testing and evaluation capabilities, guidelines, and environments to validate AI performance before release and monitor operational use.
• Implementing robust privacy, security, data protection, and data governance measures including access controls, data deletion mechanisms, data minimization practices, and comprehensive data lineage tracking.
",Healthcare Privacy,Data Governance,Data Privacy,Gov Datasets
46,"Deploy Privacy-Preserving Technologies (PPTs) to enhance AI security and innovation through three strategic initiatives:
• Enable intelligence-sharing and threat detection through Privacy-Preserving Federated Learning (PPFL) while safeguarding privacy and constitutional freedoms.
• Establish a secure federated data access framework allowing AI models to train on critical datasets without direct access to classified or private information.
• Create controlled test environments to refine AI models for national security applications while maintaining trust and security.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
47,"• Create national AI testbeds that can be freely accessed by any company in the U.S. for experiments with AI systems.
• Proliferate and encourage the availability of open-source models that all U.S. companies can easily access.
• Facilitate public-private partnerships to enable protected knowledge sharing and ensure safe deployment of AI models.
",Content Creation,Software Development,Content & Models,Open Source
48,"The AI Action Plan should recognize the vital role of all energy sources, including solar and energy storage, in powering data centers. Solar and storage are cost-effective, fast to deploy, and reliable solutions to meet the unprecedented energy demands from AI data centers.
",Energy Infrastructure,Energy Solutions,Energy Systems,Energy Solutions
49,"Promote the adoption of privacy-enhancing technologies (PETs) such as federated learning, differential privacy, and homomorphic encryption in AI development and deployment.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
50,"Bolster foundational AI R&D investments and improve researcher access to resources. This includes:
• Speeding funding allocations to early-market R&D.
• Ensuring essential compute, high-quality datasets, and advanced AI models are widely available to scientists and institutions.
• Using federal prize challenges to identify and prioritize unsolved scientific challenges.
• Incentivizing partnerships with national labs to advance research in science, cybersecurity, and CBRN risks.
• Making it easier for national security agencies to use commercial, unclassified storage and compute.
• Releasing government datasets that can aid commercial training.
",Science Partnerships,Science,Research Funding,Science Grants
51,"• Create a regulatory framework that safeguards public interests while promoting innovation.
• Rely on existing regulations that provide guardrails for technology in education when possible.
• Encourage adaptive regulations that allow industries to innovate responsibly.
• Support non-binding guidance and best practice sharing.
",Semiconductor manufacturing,Autonomous Vehicles,Manufacturing,Autonomous Safety
52,"The Administration should defend American AI companies and innovators from overseas extortion and punitive fines, penalties, investigation, and enforcement, pursuant to the policy set out in the President's memorandum, ensuring U.S. companies will be able to compete fairly globally.
",Content Creation,Antitrust regulation,Content & Models,Market Competition
53,"The recommendation focuses on reforming immigration policies to better attract and retain international AI talent. It includes several sub-actions:
• Cut red tape and promote efficiency across immigration processes,
• Strengthen retention of foreign talent educated at US universities,
• Unlock immigrant entrepreneurship by clarifying visa rules for company founders.
",Workforce Development,Immigration,Workforce Dev,Talent Immigration
54,"Support the Secretary of State in fostering stronger AI diplomacy ties between the U.S. and LAC through:
• Enhancing regional cooperation by engaging directly with Latin American leaders on trade agreements and infrastructure projects,
• Promoting sustainable development through transparent foreign aid programs aligned with SDGs,
• Addressing common challenges like immigration policies and drug trafficking to create a conducive environment for AI-related investments.
",Government operations,International Cooperation,Infrastructure,Global Cooperation
55,"Support strategic public-private partnerships to expand access to technical resources, including efforts to make high-impact government datasets more widely available for AI research and development.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
56,"Maintain a coordinated effort with stakeholders to establish seamless national policies and guardrails that enhance the use of AI in healthcare. This should refine existing policies and frameworks based on industry input rather than reinventing regulations.
",Risk Management,Rural development,Regulation,Policy Awareness
57,"Center the United States AI Plan on:
• Promoting the development of beneficial specialized AI systems.
• Preventing the development of unsafe, unreliable superhuman AI systems that could pose existential risks.
",Government operations,International Cooperation,Infrastructure,Global Cooperation
58,"Develop federal guidance on AI-driven data security tailored specifically to high-traffic event spaces, ensuring venues can protect guest data while meeting CISA standards without excessive administrative burden.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
59,"Establish legislative safeguards that guarantee human creators exclusive, sui generis rights to:
• Control the use of their works in all GenAI contexts related to ingestion, manipulation, and output.
• Be fairly compensated and credited for all such uses.
• Collectively negotiate licenses for copyrighted musical works used in GenAI training.
• Receive royalties on all output generated by GenAI systems.
• Maintain liability protection for copyright plagiarism under existing laws.
",Content Creation,Copyright,Content & Models,Creator Rights
60,"Leverage federal government purchasing power to encourage responsible AI development focused on preventing weapons of mass destruction. Rather than creating new regulatory frameworks, establish procurement requirements that incentivize AI companies to implement rigorous safeguards against their systems being used to develop biological, chemical, nuclear, or radiological weapons.
",Government operations,Procurement,Infrastructure,Federal Contracts
61,"Create a comprehensive legal framework for AI accountability that clarifies responsibility across the AI ecosystem. Key components include:
• Clarifying legal responsibility across AI developers, deployers, and application providers,
• Updating Section 230 protections regarding AI-generated content and decision-making,
• Establishing an independent regulatory body to oversee AI accountability,
• Recognizing private rights of action for individuals harmed by AI systems,
• Implementing targeted legislative measures to address emerging AI risks such as deepfakes and electoral manipulation.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
62,"Deploy AI defense systems to protect the electric grid from cyber and physical attacks at a level commensurate with the grid's importance to national security. Establish requirements and solutions in tight partnership with critical infrastructure providers to ensure protection without compromising utilities' ability to effectively secure the grid. Consider using the Defense Production Act, which designates energy as a strategic and critical material.
",Government operations,Infrastructure Resilience,Infrastructure,Critical Systems
63,"Enforce existing copyright law and uphold the fair use doctrine for AI training on copyrighted works, while preventing other countries from imposing their version of copyright law onto U.S. companies.
",Content Creation,Content Licensing,Content & Models,Copyright Issues
64,"The Administration should oppose both domestic and international efforts to establish ""opt-out"" systems where copyright owners must actively exclude their works from AI training datasets. The recommendation emphasizes:
• Maintaining the ""opt-in"" nature of U.S. copyright law.
• Recognizing the practical difficulties of implementing opt-out schemes.
• Engaging diplomatically to oppose broad copyright exceptions in international forums.
",Content Creation,Copyright,Content & Models,Creator Rights
65,"Invest in AI research and maintain the National Artificial Intelligence Research Resource (NAIRR) as an independent entity. Key actions include:
• Funding AI research in universities, national laboratories, and industry.
• Protecting the independence of NAIRR to maintain neutrality, foster innovation, and serve the public interest.
• Encouraging partnerships with universities and private sector to establish local technical expertise hubs.
• Investing in alternative AI approaches that minimize resource demands to support sustainable AI development.
",Science Partnerships,Computational Resources,Research Funding,Computing Access
66,"Create a guiding framework for responsible, inclusive, safe, and ethical AI (RISE) that addresses four key aspects:
• Responsible - designing systems for human-AI collaboration, measuring privacy/safety risks, improving AI literacy, and standardizing data sharing.
• Inclusive - developing AI systems that bridge economic disparities.
• Safe - advancing trust and reliability of AI systems and creating testbeds for safety assessment.
• Ethical - measuring alignment with human values and creating interpretable models for ethical policy-making.
",Content Creation,Ethical AI Deployment,Content & Models,Ethical Deployment
67,"Ensure small businesses are represented in AI policy discussions by:
• Providing AI literacy resources and training through public-private collaboration to help small businesses understand the risks and benefits of AI.
• Modernizing existing small business resource programs to ensure they provide for emerging technology needs, including AI.
• Giving small businesses a seat at the table in regulatory framework discussions on emerging technology.
",Risk Management,Rural development,Regulation,Policy Awareness
68,"Stimulate AI R&D through robust public sector funding.
• Couple commercial AI development with sustained funding for public sector R&D at universities, national labs, federally funded centers, and nonprofits.
• Support research examining AI's social impacts and developing metrics to understand research-to-innovation conversion.
• Create well-documented open datasets.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
69,"Modernize existing Federal Motor Vehicle Safety Standards (FMVSS) to clarify that requirements for manual controls and certain indicators and telltales do not apply to Level 4 or Level 5 ADS-dedicated vehicles.
",Semiconductor manufacturing,Autonomous Vehicles,Manufacturing,Autonomous Safety
70,"The United States needs to adopt a flexible, innovation-focused approach to AI governance that outlines government AI principles, establishes the U.S. AI framework, creates mechanisms to implement it, and develops measures to promote innovation and mitigate AI risks.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
71,"The government should encourage the development and use of Open Source AI models in both public and private sectors to accelerate discovery and application of AI in ways that benefit public wellbeing.
",Content Creation,Software Development,Content & Models,Open Source
72,"Develop scalable, network-aware distributed AI algorithms that jointly optimize computation, communication, and data utilization in edge settings. This requires:
• Creating efficient model compression, quantization, and adaptive training techniques for edge devices with limited resources.
• Developing AI-aware networks that dynamically allocate bandwidth and processing power.
• Implementing privacy-preserving AI architectures that support secure federated learning across decentralized nodes.
",Government operations,High-Performance Computing,Infrastructure,Computing Power
73,"The government should establish a collaborative process to work with industry to develop contracting mechanisms and acquisition strategies that respect and protect privately developed IP while acquiring only necessary technical data and license rights. Respecting the private sector's IP rights and aligning with commercial practices will incentivize investment and provide greater access to advanced technological innovations.
",Semiconductor manufacturing,Innovation,Manufacturing,Research Hubs
74,"Require future policies to specify whether they apply to models solely trained on biological or chemical data, particularly when using terms like ""foundation model"" or ""large language model."" This clarity is needed because these terms can apply to both general-purpose and chem-bio AI models but are defined differently depending on context.
",Science Partnerships,Machine Learning,Research Funding,Model Validation
75,"Promote adoption of advanced cryptographic methods and data protection approaches including:
• Encryption-in-use technologies such as homomorphic encryption and secure multiparty computation.
• Data-centric security controls that enforce robust governance.
• Zero Trust principles applied directly to content flows.
• Private Data Networks that consolidate sensitive content communications.
• Content type filtering, trusted channel verification, and secure data gateways.
",Semiconductor manufacturing,Digital Identity,Manufacturing,Digital Standards
76,"Develop and promulgate generally accepted definitions for AI and AI-related terminology in the context of federal acquisition to mitigate confusion within government procurement offices and across the federal contracting community.
",Government operations,Procurement,Infrastructure,Federal Contracts
77,"Develop and enforce stringent data privacy and security regulations for AI. This includes:
• Passing data privacy and security legislation that protects individuals' data.
• Establishing a dedicated regulatory body to oversee the enforcement of data privacy.
• Mandating compliance with data privacy and security standards for all organizations handling personal data, with penalties for non-compliance.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
78,"Support the continuation of AI model governance guidance provided by the Federal Reserve and Office of the Comptroller of the Currency (OCC), such as the Supervisory Guidance on Model Risk Management. This guidance helps financial institutions extend their model governance to encompass complex AI models and ecosystems.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
79,"• Support and improve upon the new screening requirements for nucleic acid synthesis.
• Commit to updating the framework every two years to ensure effectiveness in the face of advancing technology in biotechnology and AI.
",Content Creation,Biotechnology,Content & Models,Biosecurity
80,"Encourage adoption of voluntary risk management frameworks and industry best practices for assessing risks associated with AI use. Establish a collaborative approach between public and private sectors to balance enabling AI benefits with managing risks.
",Risk Management,Information Security,Regulation,Risk Management
81,"Policy must ensure foundation model developers are not liable for the actions of end users that they cannot control. This is particularly important for open-source models, as developers lack formal relationships with those who use and build with their technology.
",Content Creation,Software Development,Content & Models,Open Source
82,"Support innovation through AI prize-based challenges or competitions that encourage industry to develop AI-based technologies and solutions for mission-critical public services. These challenges should:
• Be structured in stages progressing from concept to prototype to live demo,
• Have clearly formulated goals and published criteria,
• Include specific use cases for competitors,
• Have well-defined system requirements and scoring criteria,
• Be designed to support strategic priorities and drive innovation.
",Government operations,Economic Development,Infrastructure,Innovation Hubs
83,"Create public-private partnerships specifically focused on rural areas to ensure AI development, research, and adoption in these regions, preventing a digital divide.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
84,"Develop AI architectures that enable competition and plug-and-play capabilities at the appropriate level of granularity. These architectures should feature modular, interoperable interfaces and components that allow diverse industry players to integrate their solutions without being locked into a single provider's ecosystem. This work should involve collaboration with industry and standards bodies to balance openness for competition with cohesion for functionality.
",Government operations,Economic Development,Infrastructure,Innovation Hubs
85,"Enhance the Patent and Trademark Office's approach to AI patents in healthcare to facilitate innovation while preventing patent abuse. This includes:
• Increasing internal AI expertise within the Patent Office,
• Allocating resources for extensive prior invention searches,
• Promoting skepticism around process patents while favoring trade secrets for algorithm claims heavily based on existing AI theory,
• Protecting genuinely novel AI inventions,
• Creating a faster patent review process for self-service medical AI with high cost-savings potential.
",Content Creation,Intellectual Property,Content & Models,IP Protection
86,"The Administration should encourage Congress to make two changes to the Copyright Act:
• Specify that a finding that a derivative work is transformative faces a higher bar when produced by generative AI, unless the transformative quality is demonstrably the product of human prompts;
• Lower the threshold of ""substantial similarity"" necessary to find that a work is derivative when produced by generative AI, if there's evidence the original work was in the training dataset.
",Content Creation,Copyright,Content & Models,Creator Rights
87,"Establish a federal AI framework in coordination with industry that is based on widely-used and well-respected frameworks that rely on a risk-based approach, such as the AI Risk Management Framework (RMF) issued by NIST. The framework should responsibly address the risks of AI without being overly prescriptive so as to stifle innovation or competition. Quantitative measures, data specifications, and reporting requirements should be based on nationally adopted voluntary consensus-based standards.
",Risk Management,Information Security,Regulation,Risk Management
88,"The federal government should expand AI literacy across the scientific workforce through training programs and funding initiatives aimed at small and medium-sized businesses engaged in R&D. These efforts should leverage existing programs through the NSF, DOE, USDA, and SBA, and integrate AI training into federal workforce development programs and academic institutions.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
89,"Support AI research and development through:
• Encouraging research and development, including the establishment of high-quality datasets and benchmarks.
• Making available federal data in standardized formats.
• Investing in High Performance Computing (HPC) AI infrastructure for national security and scientific research.
",Government operations,High-Performance Computing,Infrastructure,Computing Power
90,"Federal and private investment incentives should be geographically equitable, rather than focused on existing technology centers. This ensures:
• Balanced national growth,
• Maximum utilization of talent pools in rural states,
• Enhanced innovation through diverse regional ecosystems, and
• Strengthened national security through distributed AI capabilities.
",Science Partnerships,Education (3),Research Funding,Rural Education
91,"Develop an action plan that supports flexible regulatory mechanisms to address the evolving health care infrastructure with AI. The approach should enable a more efficient, accessible, and affordable health care system while protecting patients with cancer. The administration should work collaboratively with Congress to advance legislation that supports this flexible regulatory approach.
",Science Partnerships,Healthcare (2),Research Funding,Healthcare Payment
92,"Shift from a reactive export control approach to one that enhances U.S. market leadership while maintaining targeted restrictions on adversarial nations.
• Maintain targeted export restrictions of advanced AI technologies to countries of concern.
• Expand controls to cover upstream components and advanced packaging materials.
• Apply U.S. controls to any technology using American IP regardless of where manufactured.
• Strengthen enforcement on suppliers facilitating workarounds.
",Content Creation,Semiconductor export controls,Content & Models,Export Controls
93,"The government should establish agency-industry consortiums to enable relationship development and collaboration on relevant AI issues, similar to the Artificial Intelligence Safety Institute Consortium (AISIC) under NIST.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
94,"Implement AI in several critical government areas for quick wins. Key opportunities include:
• Expanding funding for integration of AI into Command and Control (C2) systems to enhance military capabilities.
• Expanding investments in healthcare data sources to enable better AI-driven healthcare solutions.
• Enhancing fraud detection capabilities using AI to identify instances of fraud and corruption in government programs.
• Mandating agency-specific flagship AI programs to be completed within nine months of the Action Plan's publication.
",Government operations,Government,Infrastructure,Gov Services
