team,season_start,season_end,narrative,head_coach,win_percentage,division_rank,made_playoffs,made_conference_finals,made_finals,won_championship,conference_rank
Denver Nuggets,2023,2024,"The 2023–24 Denver Nuggets season was the 48th season for the franchise in the National Basketball Association (NBA).[1] The Nuggets entered the season as the defending NBA, Western Conference, and Northwest Division champions after winning the 2023 NBA Finals against the Miami Heat during the previous season in five games for their first championship.[2] The Nuggets managed to clinch their 6th straight playoff berth on March 31, 2024, after they defeated the Cleveland Cavaliers. On May 8, 2024, center Nikola Jokić won his third MVP award in four seasons. The Nuggets defeated the Los Angeles Lakers in five games in the first round of the playoffs, a rematch of last season's Western Conference Finals in which Denver swept Los Angeles. In the Semifinals, the Nuggets and the Minnesota Timberwolves exchanged blowouts in a seven-game series, but the Nuggets would blow a 20-point lead in Game 7 as they were eliminated by the Timberwolves 98-90 despite having Jamal Murray and Nikola Jokić scoring a combined 69 points. The Nuggets became the first team in NBA history to lose a Game 7 after leading by 15 or more points at halftime.",Michael Malone,0.695,2.0,True,False,False,False,2.0
Detroit Pistons,1957,1958,"The 1957–58 NBA season was the Detroit Pistons' tenth season in the NBA and first season in the city of Detroit. The new Detroit Pistons played home games at Olympia Stadium, home of the Detroit Red Wings, and struggled to find a footing in their new hometown.[1]  Team owner Fred Zollner provided the team with their own aircraft to travel for road games, but the NBA responded with a difficult travel schedule, especially during the winter, as the Pistons could avoid commercial air delays.  The Pistons went 33–39 (.458) during the season, tied for second in the Western Division, with the Cincinnati Royals, eight games behind the St. Louis Hawks, but were awarded the second seed on tie-breakers.[2] The Pistons defeated the Royals in two straight games in the West Semifinal series, but lost the West Finals to the Hawks 4–1.[3]  The team was led by forward George Yardley (27.8 ppg, 10.7 rpg, NBA All-Star) and guards Gene Shue (15.6 ppg, NBA All-Star) and Dick McGuire (8.1 ppg, 6.6 apg, NBA All-Star).[4][3]",Charles Eckman  Red Rocha,0.458,2.0,True,False,False,False,
Detroit Pistons,1958,1959,"The 1958–59 NBA season was the Detroit Pistons' 11th season in the NBA and second season in the city of Detroit.[1]  The team played at Olympia Stadium in Detroit. The team finished with a 28-44 (.389) record, third in the Western Division, but advanced to the playoffs, dropping the Western Conference semi-final 2–1 to the Minneapolis Lakers.  The team was led guard Gene Shue (17.6 ppg, NBA All-Star) and center Walter Dukes (13.0 ppg, 13.3 rpg).  The Pistons traded away NBA All-Star George Yardley to the Syracuse Nationals during the season in a trade that netted Ed Conlin.[2][1]",Red Rocha,0.389,3.0,True,False,False,False,
Detroit Pistons,1959,1960,"The 1959–60 NBA season was the Detroit Pistons' 12th season in the NBA and third season in the city of Detroit.[1]  The team played at Olympia Stadium in Detroit. The team finished with a 30-45 (.400) record, second in the Western Division, advancing to the playoffs, dropping the Western Conference semi-final 2–0 to the Minneapolis Lakers.  The team was led guard Gene Shue (22.8 ppg, NBA All-Star) and center Walter Dukes (15.2 ppg, 13.4 rpg).  The Pistons also featured rookie Bailey Howell who put up outstanding numbers (17.8 ppg, 10.5 rpg) on his way to a Hall of Fame career.[2][1]",Red Rocha  Dick McGuire,0.4,2.0,True,False,False,False,
Detroit Pistons,1960,1961,"The 1960–61 NBA season was the Detroit Pistons' 13th season in the NBA and fourth season in the city of Detroit.[1]  The team played home games at Olympia Stadium. The Pistons finished 34-45[2] (.430), 3rd in the Western Division. The team advanced to the playoffs, losing to the Los Angeles Lakers 3–2 as Laker Elgin Baylor dominated the series with a 39.4 ppg average in the series.  Detroit was led on the season by forward Bailey Howell (23.6 ppg, 14.4 rpg, NBA All-Star), center Walter Dukes (11.7 ppg, 14.1 rpg, NBA All-Star) and guard Gene Shue (22.6 ppg, 6.8 apg, NBA All-Star). The 1960-61 Detroit Pistons were an offensive minded team, finishing their season at 2nd overall in Offensive Rating in the 1960-61 NBA season, which included eight NBA teams. However, Detroit had one of the poorer defenses in the NBA, ranking 6th overall in Defensive Rating.[1] Detroit ranked 6th overall in field goal attempts and 4th overall in field goal percentage and Effective Field Goal Percentage. The high-powered 1960-61 Pistons offense relied heavily on the free throw, ranking 1st in free throw attempt rate and free throws per field goal percentage.[1] The 1960-61 Pistons had a slightly more successful season than their previous year, winning 4 more games than the 1959-1960 season. However, Detroit still ended the year with the same amount of losses as the 1959-60 season. This is because the NBA expanded their schedule from 75 to 79 games in the 1960-61 season, so the Pistons played four more games than the 1959-1960 season.[1] Although the Pistons had a 34-45 (.430) losing record, they still made it to the 1961 NBA playoffs where they played the Los Angeles Lakers. The Lakers hosted the first two games of the series, beating the Pistons 120–102 on March 14, 1961, and 127–118 on March 15th. The Pistons were able to tie the series after beating the Lakers twice in Detroit with scores of 124–113 on March 17 and 123–114 on March 18.[3] The March 17th victory was bolstered by a defensive assignment switch which placed Walter Dukes on Laker's star, Elgin Baylor. Baylor, who had averaged 44.5 points in the first two games in Los Angeles, was held to 26 points with only 10 of those points coming in the second half.[4] The Pistons lost to the Lakers in the final game of the series 137–120, and were eliminated from the playoffs.[3]",Dick McGuire,0.43,3.0,True,False,False,False,
Detroit Pistons,1961,1962,"The 1961–62 NBA season was the Detroit Pistons' 14th season in the NBA and fifth season in the city of Detroit.[1]  The team moved to newly built Cobo Arena in the 1961–62 season. The Pistons were led by guard Gene Shue (19.0 ppg, 5.8 apg, NBA All-Star) and forward Bailey Howell (19.9 ppg, 12.6 rpg).  The Pistons also featured rookie Ray Scott (13.3 ppg, 11.5 rpg), who would go on to a long career with the Pistons as a player and eventually coaching the team. For the thirteenth straight season, the Pistons made the playoffs, with this being the seventh time they finished third place in the Western Division. Detroit faced the Cincinnati Royals and star Oscar Robertson in the Western Division semifinals; the Pistons won in four games to advance to the Division Finals for the first time in four years, facing the Los Angeles Lakers. The Lakers beat the Pistons in six games. While the Pistons would make the postseason the following year, this was the last postseason series victory for the Pistons until 1976.[2]",Dick McGuire,0.463,3.0,True,False,False,False,
Detroit Pistons,1962,1963,"The 1962–63 NBA season was the Detroit Pistons' 15th season in the NBA and sixth season in the city of Detroit.[1] The Pistons finished with a 34-46 (.425) record, 3rd place in the Western Division.  The team would advance to the 1963 NBA Playoffs, losing their first round series 3–1 to the St. Louis Hawks.  The team was led by forward Bailey Howell (22.7 ppg, 11.5 rpg, NBA All-Star), guard Don Ohl (19.3 ppg) and rookie forward Dave DeBusschere from the University of Detroit (12.7 ppg, 8.7 rpg, All-Rookie Team), who was the team's top pick in the 1962 NBA Draft.[2][3]",Dick McGuire,0.425,3.0,True,False,False,False,
Detroit Pistons,1963,1964,"The 1963–64 NBA season was the Detroit Pistons' 16th season in the NBA and seventh season in the city of Detroit.[1]  The team played at Cobo Arena in Detroit.[2] The Pistons finished with a 23-57 (.288) record, last place (5th) in the Western Division.  The team was led on the season by forward Bailey Howell (21.6 ppg, 10.1 rpg, NBA All-Star), center Ray Scott (17.6 ppg, 13.5 rpg) and guard Don Ohl 17.3 ppg, NBA All-Star.[3] The Pistons bristled under coach Charles Wolf, with Sports Illustrated describing the team as ""the unhappiest team ever assembled. Wolf did not smoke or drink or swear or run around late at night and he was hell-bent on making sure no one else did either. Midseason practice sessions consisted of push-ups, sit-ups and lectures. ""We had to raise our hand if we wanted to go to the bathroom,"" said one player. And during a game, one missed shot or bad pass meant a trip to the pines, as Piston center Reggie Harding refers to bench time. 'I'd trade every one of you,' Wolf once told his players in an effort to build up their confidence, 'except you're so bad no one will have you.'""[4]",Charles Wolf,0.288,5.0,False,False,False,False,
Detroit Pistons,1964,1965,"The 1964–65 NBA season was the Detroit Pistons' 17th season in the NBA and its eighth season in the city of Detroit.[1]  The team played at Cobo Arena in Detroit. The team fired coach Charles Wolf after 11 games, naming 24-year old forward Dave DeBusschere player-manager.  The Pistons finished the season 31-49 (.388), 4th in the Western Division.  Before the season began, the team made a major trade to rid the team of players who had feuded with Wolf, adding Terry Dischinger, Don Kojis and Rod Thorn from the Baltimore Bullets for Bob Ferry, Bailey Howell, Les Hunter, Wali Jones and Don Ohl.  The trade was the largest in NBA history at the time.[2]  Former Piston Gene Shue, coaching for Baltimore, assessed the trade thus: “Detroit has the worst management in the league.”[3][2] Detroit was led on the season by forward DeBusschere (16.7 ppg, 11.1 rpg) and guard Dischinger (18.2 ppg, NBA All-Star).  Dischinger would leave the team after the season, as having a ROTC commission at Purdue, he would serve two years in the United States Army during the Vietnam War.[4]",Charles Wolf  Dave DeBusschere,0.388,4.0,False,False,False,False,
Detroit Pistons,1965,1966,"The 1965–66 NBA season was the Detroit Pistons' 18th season in the NBA and its ninth season in the city of Detroit.[1]  The team played at Cobo Arena in Detroit.[2] Before the start of the 1965–66 season, the Pistons lost their leading scorer, Terry Dischinger, due to military service, and starting center, Reggie Harding, due to suspension. On September 28, 1965, general manager Don Wattrick died of a heart attack.[3] The team's first round pick in the 1965 NBA draft, Bill Buntin did not sign until October due to a contract dispute.[4] The Pistons struggled on the season, finishing 22-58 (.275), 5th in the Western Division and with the worst record in the NBA.  The team was led on the season by guard Eddie Miles (19.6 ppg, NBA All-Star) and player-coach Dave DeBusschere (16.4 ppg, 11.6 rpg, NBA All-Star).  Rookie guard Tom Van Arsdale (10.5 ppg, NBA First-Team All-Rookie) added to the cause.  Adding insult on the year, two Baltimore Bullets, Don Ohl and Bailey Howell, made the NBA All-Star game, having been traded the year prior by the Pistons.[5][6]",Dave DeBusschere,0.275,5.0,False,False,False,False,
Detroit Pistons,1966,1967,"The 1966–67 NBA season was the Detroit Pistons' 19th season in the NBA and tenth season in the city of Detroit.[1]  The team played at Cobo Arena in Detroit. The team struggled to a 30-51 (.370) record, 5th in the Western Division.  The team removed the coach role from 26 year-old player-coach Dave DeBusschere as the season was coming to an end, even as DeBusschere led the team (18.2 ppg, 11.8 rpg, NBA All-Star) on the court.  The Pistons added rookie Dave Bing with the 2nd choice in the first round of the 1966 NBA draft and Bing contributed immediately with 20 ppg, 4.1 apg, was named to the NBA All-Rookie Team and honored as the NBA Rookie of the Year at the start of his Hall of Fame career.[2][3]",Dave DeBusschere  Donnie Butcher,0.37,5.0,False,False,False,False,
Detroit Pistons,1967,1968,"The 1967–68 NBA season was the Detroit Pistons' 20th season in the NBA and 11th season in the city of Detroit.[1]  The team played at Cobo Arena in Detroit. Expansion in the NBA, with new teams in San Diego and Seattle, forced the league to move to the deeper Eastern Conference. Still, Detroit improved significantly, finishing 40-42 (.488), 4th in the Eastern Division.  The team advanced to the playoffs for the first time since 1963, losing in the division semi-finals to the eventual NBA champion Boston Celtics 4–2.  Detroit was led on the season by guard Dave Bing (27.1 ppg, 6.4 apg, NBA All-Star) and forward Dave DeBusschere (17.9 ppg, 13.5 rpg, NBA All-Star).[2][3]",Donnie Butcher,0.488,4.0,True,False,False,False,
Detroit Pistons,1968,1969,"The 1968–69 NBA season was the Detroit Pistons' 21st season in the NBA and 12th season in the city of Detroit.[1]  The team played at Cobo Arena in Detroit. The Pistons finished with a 32-50 (.390), 6th place in the Eastern Division.  The team fired coach Donnie Butcher after 22 games, replacing him with assistant Paul Seymour in December.[2] 
Seymour pushed for what would become an ill-advised trade, dealing All-Star and future Hall of Famer Dave DeBusschere to the New York Knicks for journeyman Howard Komives and 7-footer Walt Bellamy, also a Hall of Famer, but one who had worn out welcomes in Baltimore and New York, having a reputation as a malcontent.[3] He proved it in Detroit, lasting a mere 109 games, traded to the Atlanta Hawks a year later, netting the Pistons John Arthurs, who would never play for Detroit.  DeBusschere became the final component needed for the 1970 NBA champion Knicks.[4][5][6] Detroit was led on the season by guard Dave Bing (23.4 ppg, 7.1 apg, NBA All-Star) and forward Happy Hairston (18.1 ppg, 11.8 rpg).[7]",Donnie Butcher  Paul Seymour,0.39,6.0,False,False,False,False,
Detroit Pistons,1969,1970,"The 1969–70 NBA season was the Detroit Pistons' 22nd season in the NBA and 13th season in the city of Detroit.[1]  The team played at Cobo Arena in Detroit. It was a challenging season for Detroit, which started in the pre-season when rising star Dave Bing signed a future contract with the Washington Caps of the rival American Basketball Association. Bing would re-sign with the Pistons the following season when the Washington ABA team moved to Virginia.  The team also changed coaches, bringing in Butch Van Breda Kolff, who had been forced out from the Los Angeles Lakers after feuding with star Wilt Chamberlain.[2]  The Pistons would finish the season with a 31-51 (.378) record, 7th in the NBA Eastern Division, the 14th straight losing season for the franchise.  The Pistons were led on the season by Bing (22.9 ppg, 6.0 apg) and guard Jimmy Walker (20.8 ppg, NBA All-Star).[3][4][5]",Bill Van Breda Kolff,0.378,7.0,False,False,False,False,
Detroit Pistons,1970,1971,"The 1970–71 NBA season was the Detroit Pistons' 23rd season in the NBA and 14th season in the city of Detroit.[1]  The team played at Cobo Arena in downtown Detroit. The Pistons finished with a 45-37 (.549) record, 4th place in the deep Midwest Division, as the NBA re-organized from 2 to 4 divisions.  It was the first winning season for Detroit since the franchise relocated from Ft. Wayne in 1957.  The team was led by guards Dave Bing (27.0 ppg, 5.0 apg, NBA All-Star) and Jimmy Walker (17.6 ppg) and rookie center Bob Lanier (15.6 ppg, 8.1 rpg, All-Rookie Team), who was the top pick in the 1970 NBA Draft.[1][2]",Butch van Breda Kolff,0.549,4.0,False,False,False,False,6.0
Detroit Pistons,1971,1972,"The 1971–72 NBA season was the Detroit Pistons' 24th season in the NBA and 15th season in the city of Detroit.[1]  The team played at Cobo Arena in downtown Detroit. The Pistons finished with a 26-56 (.317) record, 4th place in the Midwest Division.  The team was led guards Dave Bing (22.6 ppg) and Jimmy Walker (21.3 ppg, NBA All-Star) and center Bob Lanier (25.7 ppg, 14.2 rpg, NBA All-Star).[2]  The season began with Butch van Breda Kolff as coach.  He resigned 10 games into the season, replaced briefly by player Terry Dischinger before Earl Lloyd was named as a permanent replacement, as the team dropped from 45 wins the previous season to 26 in the 1971–72 season.[3]","Butch van Breda Kolff (resigned)
Terry Dischinger (interim)
Earl Lloyd",0.317,4.0,False,False,False,False,8.0
Detroit Pistons,1972,1973,"The 1972–73 NBA season was the Detroit Pistons' 25th season in the NBA and 16th season in the city of Detroit.[1]   The team played at Cobo Arena in downtown Detroit. The Pistons finished with a 40-42 (.488) record, 3rd place in the Midwest Division.  The team was led guard Dave Bing (22.4 ppg, 7.8 apg, NBA All-Star), center Bob Lanier (23.8 ppg, 14.9 rpg, NBA All-Star) and forward Curtis Rowe (16.1 ppg).[1]  Coach Earl Lloyd was fired after 7 games, replaced by former Pistons player Ray Scott, who led the team to a 38–37 record under his direction.  Lanier credited Scott with an improved culture, stating, “He took over and we started playing collectively as a unit.  We had a good feeling, and we related well with one another.”[2]","Earl Lloyd (fired)
Ray Scott",0.488,3.0,False,False,False,False,5.0
Detroit Pistons,1973,1974,"The 1973–74 NBA season was the Detroit Pistons' 26th season in the NBA and 17th season in the city of Detroit.  The team played at Cobo Arena in downtown Detroit. The Pistons finished with a 52-30 (.634) record, 3rd place in the Midwest Division, only their second winning season since moving to Detroit in 1957.  The team was led by guard Dave Bing (18.8 ppg, 6.9 apg, NBA All-Star) and center Bob Lanier (22.5 ppg, 13.3 rpg, NBA All-Star and NBA All-Star Game MVP).[1][2]  Pistons coach Ray Scott was recognized as the NBA Coach of the Year, the first black coach in the league to win the award.[3][4]  It wouldn't be until 1991 when Don Chaney won the award that another black coach was so honored.[5] Detroit advanced to the 1974 NBA Playoffs, the team's first playoff appearance since the 1967-68 Detroit Pistons season, losing the Western Conference semi-finals 4–3 to the Chicago Bulls, dropping the deciding 7th game 96–94 in Chicago.[1]  In the 7th game at Chicago Stadium, after a furious Detroit rally, Dennis Awtrey of the Bulls tipped an inbounds pass by Bing with 3 seconds remaining and Norm Van Lier dribbled out the clock to preserve the Chicago victory.[6]",Ray Scott,0.634,3.0,True,False,False,False,4.0
Detroit Pistons,1974,1975,"The 1974–75 NBA season was the Detroit Pistons' 27th season in the NBA and 18th season in the city of Detroit.[1]  The team played at Cobo Arena in downtown Detroit. The Pistons finished with a 40–42 (.488) record, 3rd place in the Midwest Division.  The team was led guard Dave Bing (19.0 ppg, 7.7 apg, NBA All-Star), who held out over a contract dispute in the pre-season[2] and center Bob Lanier (24.0 ppg, 12.0 rpg, NBA All-Star).[3]  The steady improvement of the previous three seasons (26 to 40 to 52 wins) came to a halt, as injuries played a significant role in derailing the promising season.  In Sports Illustrated, the team was discussing Lanier playing through injury, ""He’s our savior,"" says Rowe.  Our healer, says Adams.  Our leader, says Bing.  Listen to those guys, says Lanier. They think I'm Moses.""[4] Detroit advanced to the 1975 NBA Playoffs, losing a first round series of the Western Conference playoffs 2–1 to the Seattle SuperSonics, dropping the deciding 3rd game 100–94 in Seattle, with each team winning at home in the series.[5]  Lanier was limited in the series, averaging 20.3 ppg vs. his season average of 24.0 ppg, Howard Porter, picked up in a December trade with the Chicago Bulls, had an excellent series with 17.3 ppg, but the team could not overcome the stellar shooting of Downtown Freddie Brown, who averaged 23.7 ppg and Tom Burleson with a double-double of 22.3 ppg and 10.7 rpg.[6]",Ray Scott,0.488,3.0,True,False,False,False,5.0
Detroit Pistons,1975,1976,"The 1975–76 NBA season was the Detroit Pistons' 28th season in the NBA and 19th season in the city of Detroit.[1]  The team played at Cobo Arena in downtown Detroit. The Pistons made a major move in the off-season, trading perennial All-Star Dave Bing to the Washington Bullets for NBA assist leader Kevin Porter.  Porter would only play 19 games for the Pistons in 1975–76, missing the bulk of the season with an injury.  Bing represented Washington at the 1976 NBA All-Star Game, honored as the game MVP.  The team also made a move at mid-season, firing coach Ray Scott.  Greg Eno from Out of Bounds described his January dismissal, ""Thirty years ago and a month, Scott was conducting practice -- the Pistons were in a terrible slump at the time -- and management strode onto the court, relieved Ray Scott of his silver whistle, and marched him off the court to give him the Ziggy -- that Detroit word for a coach getting fired.  The Pistons hadn't yet learned to act with class in 1976. They were still a bush league franchise, even though Bing and Scott and Lanier had combined to put pro basketball on the map in Detroit. So the firing of Scott -- in front of his stunned players -- in January 1976 was done with all the subtlety of July 4th fireworks.""[2]  He was replaced by assistant Herb Brown.[3] The Pistons finished with a 36-46 (.439) record, 2nd place in the Midwest Division.  The team was led by forward Curtis Rowe (16.0 ppg, 8.7 apg, NBA All-Star) and center Bob Lanier (21.3 ppg, 11.7 rpg).[4]  Detroit advanced to the 1976 NBA Playoffs, winning 10 of their 11 final games, and then won their first round series of the Western Conference playoffs 2–1 over the Milwaukee Bucks, the team's first playoff series win since the 1961-62 Detroit Pistons season.  Detroit won the deciding 3rd game of the series in Milwaukee 107–104, securing the win with a late Chris Ford steal.  The team then fell to the Golden State Warriors 4–2 in the Western Conference Semi-Finals, dropping the 6th game in overtime 118–116 at Cobo Arena in Detroit.[5]","Ray Scott (fired)
Herb Brown",0.439,2.0,True,False,False,False,5.0
Detroit Pistons,1976,1977,"The 1976–77 NBA season was the Detroit Pistons' 29th season in the NBA and 20th season in the city of Detroit.[1]  The team played at Cobo Arena in Detroit. The Pistons added Marvin Barnes in the 1976 ABA Dispersal Draft, and Detroit finished with a 44–38 (.537) record, 2nd place in the Midwest Division.  The team was led by shooting guard Chris Ford (12.3 ppg), free agent addition, forward M.L. Carr (13.3 ppg, 7.7 rpg) and center Bob Lanier (25.3 ppg, 11.6 rpg, NBA All-Star).[2]  Detroit advanced to the 1977 NBA Playoffs, losing their first round Western Conference series to the Golden State Warriors.[2] The 1976–77 season was described as ""absolutely insane, probably the craziest in Pistons history. They won a lot of games, but were completely dysfunctional.""[3]  John Papanek of Sports Illustrated (SI) would state, ""if the Pistons were a TV mini-series, they would make Roots seem like Ding Dong School.""  Much of the dysfunction centered around the addition of ""Bad News"" Barnes, who was arrested during the season at Detroit Metropolitan Airport for carrying a gun while on probation, and the addition of Herb Brown as coach, who struggled to get along with the strong personalities on the team. The Pistons would eventually bench Barnes, who said ""News didn’t come here to sit on no wood.""[3]  In later years, star Detroit center Bob Lanier reflected on the dysfunctional Barnes, stating ""In the ABA, Marvin Barnes was a great, great player that had issues.  They took a chance on him, but Marvin was still into street life and he affected Eric Money. Money (a Detroit product, who played college ball at Arizona) could shoot the in-between jumper and he might’ve been one of the best that ever played.  A few years ago I ran into Marvin in Houston and he said, ‘Bob, I used to get get high all the time and Eric started to get high with me.’ When somebody tells you that and this is 20-some odd years later, you want put your fist right through their head. And I adored Marvin Barnes – I liked his personality and he's as charming a guy as you'd ever want to meet. But in terms of him trying to be part of the team that wins a championship ... man...""[3][4] Lanier and Barnes each suffered a broken hand late in the season. Barnes did not appear in the playoffs for Detroit but Lanier was able to return.[5][6]  Coach Brown had also elected to start Eric Money over mercurial starter Kevin Porter down the stretch and into the post-season, and the Pistons fell to Golden State 2–1, despite winning the opening game of the series 95–90 in Oakland.[7] In the deciding third game, Bob Lanier put forward a double-double of 33 points and 15 rebounds, shooting 72% from the floor, only to be out-dueled by fellow Hall of Famer Rick Barry, who scored 35 points to pace the Warriors in the 109–101 victory.[8]  The game was marred by a 3rd quarter fight with Charles Dudley of Golden State tangling with Eric Money of the Pistons.  The fight spilled into the stands as a Warriors fan punching Piston M.L. Carr and Lanier then decking the fan.  Reflective of the different era in the game, personal fouls were called on Dudley and Money, and the game resumed.[9] Barnes would report to the Rhode Island Department of Corrections in Cranston, Rhode Island in the off-season to serve a 152-day sentence.  He had pleaded guilty to a two-year-old charge that he had attacked Providence teammate Larry Ketvirtis with a tire iron. The judge gave him three years of probation. The October 1976 gun at the Detroit airport was a probation violation, causing the requirement to complete that initial sentence.[6][4]",Herb Brown,0.537,2.0,True,False,False,False,5.0
Detroit Pistons,1977,1978,"The 1977–78 NBA season was the Detroit Pistons' 30th season in the NBA and 21st season in the city of Detroit.  The team played at Cobo Arena in Detroit. It was the last season playing in Detroit, until the 2017-18 season when the team returned to the city proper.[1] 1977-78 was the franchise's final season in Cobo Arena, as they moved to the Pontiac Silverdome in the Detroit suburbs, also the home of the NFL's Detroit Lions, the next season. The Pistons finished with a 38-44 (.463) record, 4th place in the Midwest Division.  Tensions lingered from the previous season, especially between coach Herb Brown and point guard Kevin Porter.  Before the season began, the two tried to make peace, with Porter stating, ""This year when I'm yanked I'll accept it,"" and Brown replying, ""I may have made some mistakes."" Team captain Bob Lanier, would add, ""You can't change human nature. To be fair they should trade one of them.""[2]  Porter was traded in November, 8 games into the season, to the New Jersey Nets and would lead the NBA in assists on the season.  Brown was fired a month later.  Then, with Brown gone, Porter would return in a trade to Detroit the following season. Forward Marvin ""Bad News"" Barnes would report to the Adult Correctional Institute in Cranston, Rhode Island in the 1977 off-season to serve a 152-day sentence.  He had pleaded guilty to a two-year-old charge that he had attacked Providence teammate Larry Ketvirtis with a tire iron. The judge gave him three years of probation. An October 1976 gun incident at the Detroit airport in which Barnes tried to get a weapon through security was a probation violation,[3] causing the judge to require the completion of that initial sentence.[4][5]  Barnes was traded to the Buffalo Braves in November, bringing Gus Gerard and John Shumate to Detroit.[6] The team was led by center Bob Lanier (24.5 ppg, 11.3 rpg, NBA All-Star) and guard Eric Money (18.6 ppg, 4.7 apg), out of the playoffs for the first time in 4 seasons.[1][7]","Herb Brown (fired)
Bob Kauffman",0.463,4.0,False,False,False,False,9.0
Detroit Pistons,1978,1979,"The 1978–79 NBA season was the Detroit Pistons' 31st season in the NBA, 22nd season in the metropolitan area of Detroit, first at the Pontiac Silverdome in Pontiac, Michigan, and first in the Eastern Conference.[1] New Coach Dick Vitale did little to revitalize the direction of the franchise as the team finished with a 30-52 (.366) record, 4th place in the Central Division.  Vitale was even hospitalized with stress during the season.[2]  The team was led by point guard Kevin Porter, who led the league with 13.4 assists per game, forward M.L. Carr (18.7 ppg, 7.4 rpg), center Bob Lanier (23.6 ppg, 9.3 rpg, NBA All-Star, limited to 53 games due to injury), and the addition of two rookies Vitale drafted from the University of Detroit, where he had coached previously - John Long (16.1 ppg) and Terry Tyler (12.9 ppg, 2.5 blocks per game).[3][4]",Dick Vitale,0.366,4.0,False,False,False,False,9.0
Detroit Pistons,1979,1980,"The 1979–80 NBA season was the Detroit Pistons' 32nd season in the NBA and 23rd season in the city of Detroit.[1] The Pistons were coming off a 30–52 (.366) record from their first season in the Eastern Conference, and aiming to halt declines of six and eight wins from their previous two seasons, but by finishing 16–66 (.195) they had the worst record in franchise history at the time, and the worst NBA record since the 1972–73 Philadelphia 76ers won only nine games. Coach Dick Vitale, who was also in charge of player personnel, was fired 12 games into the season, having pushed for a disastrous trade with the Boston Celtics for Bob McAdoo when Pistons free agent M.L. Carr signed with Boston that would eventually net the Celtics key championship components Carr, Robert Parrish, and Kevin McHale in a series of exchanges.  Injuries to McAdoo and center Bob Lanier, who was traded during the season, left the Pistons a depleted roster and the team finished with fourteen consecutive defeats.[2]  Second year players John Long (19.4 ppg) and Terry Tyler (12.3 ppg, 7.6 rpg) had solid seasons to lead the overwhelmed Pistons.[3]",Dick Vitale  Richie Adubato,0.195,6.0,False,False,False,False,11.0
Detroit Pistons,1980,1981,"The 1980–81 NBA season was the Detroit Pistons' 33rd season in the NBA and 24th season in the city of Detroit.[1]  The team played at the Pontiac Silverdome. The rebuilding Pistons finished the season with a 21–61 (.256) record, 6th place in the Central Division.  The team was led by center Kent Benson (15.7 ppg, 6.8 rpg) and guard John Long (17.7 ppg).[2][1]",Scotty Robertson,0.256,6.0,False,False,False,False,11.0
Detroit Pistons,1981,1982,"The 1981–82 NBA season was the Detroit Pistons' 34th season in the NBA and 25th season in the city of Detroit.[1]  The team played in the Detroit suburbs at the Pontiac Silverdome. The Pistons had the second pick in the 1981 NBA draft and chose Isiah Thomas from Indiana, adding a future Hall of Fame player for the centerpiece of the rebuilding franchise.  The team finished greatly improved, 39-43 (.476), 3rd in the Central Division, an 18-game improvement from the previous season.  The team was led by a pair of rookies, guard Thomas (17.0 ppg, 7.8 apg, NBA All-Star, NBA All Rookie Team) and forward Kelly Tripucka (21.6 ppg, NBA All-Star, NBA All Rookie Team), along with guard John Long (21.9 ppg)  The team also picked up center Bill Laimbeer (12.8 ppg, 11.3 rpg) in a trade with Cleveland and guard Vinnie Johnson from Seattle (7.7 ppg), two key components of future championship Piston teams.[2][3]",Scotty Robertson,0.476,3.0,False,False,False,False,7.0
Detroit Pistons,1982,1983,"The 1982–83 NBA season was the Detroit Pistons' 35th season in the NBA and 26th season in the city of Detroit.[1]  The team played at the Pontiac Silverdome in suburban Pontiac, Michigan. Expectations were high with the Pistons entering the season with hopes for continued improvement and a playoff berth, having improved from 16 to 21 to 39 wins in the previous three seasons, but the team regressed, finishing 37–45 (.451), 3rd in the Central Division.  The team was led on the season by guard Isiah Thomas (22.9 ppg, 7.8 apg, NBA All-Star), center Bill Laimbeer (13.6 ppg, 12.1 rpg, NBA All-Star) and forward Kelly Tripucka (26.5 ppg). With the disappointing record and frequent clashes with team leader Thomas, the team fired coach Scotty Robertson at the end of the season.[1][2][3]  General Manager Jack McCloskey met with Robertson to deliver the news, ""'I was very disappointed and very shocked,' Robertson said. 'I thought Jack and I would discuss various aspects of the team and go on from there.  He came in at noon and we talked for five minutes. 'We're going to make a change,' he said. He gave me two reasons. He said he didn't think the team had progressed enough this year and he said he didn't think our defense was as good as it should have been.  I told him I agreed with him on both points. But where we had a difference of opinion was why. He thought it was my fault and I thought it was the set of circumstances.'""  The team would hire Chuck Daly as his replacement for the 1983-84 Detroit Pistons season.[3]",Scotty Robertson,0.451,3.0,False,False,False,False,8.0
